meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1235,9515,4,2,2024-05-19T13:04:40.796000+00:00,25.691,28.003,26.979,216.0,252.0,False,80.673,"[2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2048, 2051, 2051, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",284.0
1235,9515,16,2,2024-05-19T13:04:41.695000+00:00,25.685,28.145,27.096,216.0,252.0,False,80.926,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",292.0
1235,9515,55,2,2024-05-19T13:04:42.124000+00:00,25.799,28.232,27.071,215.0,255.0,False,81.102,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2048, 2049, 2048, 2049, 2048, 2048]",282.0
1235,9515,81,2,2024-05-19T13:04:42.813000+00:00,25.851,28.336,27.124,216.0,254.0,False,81.311,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",284.0
1235,9515,63,2,2024-05-19T13:04:43.538000+00:00,25.92,28.359,27.283,213.0,253.0,False,81.562,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",292.0
1235,9515,44,2,2024-05-19T13:04:44.162000+00:00,25.975,28.537,27.329,,254.0,False,81.841,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",280.0
1235,9515,27,2,2024-05-19T13:04:44.869000+00:00,26.091,28.595,27.425,212.0,253.0,False,82.111,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]",284.0
1235,9515,22,2,2024-05-19T13:04:45.348000+00:00,26.192,28.632,27.542,214.0,248.0,False,82.366,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]",284.0
1235,9515,11,2,2024-05-19T13:04:45.876000+00:00,26.366,28.593,27.64,214.0,253.0,False,82.599,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",280.0
1235,9515,3,2,2024-05-19T13:04:46.397000+00:00,26.259,28.841,27.695,213.0,252.0,False,82.795,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",282.0
